Timestamp;Temperature (°C);Humidity (%);NH3 (ppm);Lux
09/05/26 00.06;27,5;93,4;22.2;0,0
09/05/26 00.36;27,2;94,2;16.3;0,0
09/05/26 01.06;27,0;92,5;19.0;0,0
09/05/26 01.36;26,4;96,1;19.2;0,0
09/05/26 02.06;27,0;90,9;16.9;0,0
09/05/26 02.36;27,2;89,7;18.6;0,0
09/05/26 03.06;26,5;94,1;13.6;0,0
09/05/26 03.36;26,4;93,1;19.8;0,0
09/05/26 04.06;26,7;93,6;15.4;22,5
09/05/26 04.36;26,6;94,8;19.7;22,5
09/05/26 05.06;26,3;94,2;18.2;22,5
09/05/26 05.36;25,9;92,8;7.3;22,5
09/05/26 06.06;26,1;92,4;6.7;20,0
09/05/26 06.36;26,3;92,5;7.5;34,2
09/05/26 07.06;26,6;90,7;20.7;45,0
09/05/26 07.36;27,0;88,8;23.9;53,3
09/05/26 15.52;30,7;79,7;23.2;43,3
09/05/26 16.22;30,4;81,7;25.4;47,5
09/05/26 16.52;30,2;83,3;18.7;32,5
09/05/26 17.22;29,8;87,1;27.9;19,2
09/05/26 17.52;29,4;88,7;22.5;22,5
09/05/26 18.22;29,1;91,7;25.0;22,5
09/05/26 18.52;28,8;92,5;17.4;22,5
09/05/26 19.22;28,7;92,7;20.7;22,5
09/05/26 19.52;28,6;93,2;18.4;22,5
09/05/26 20.22;28,3;93,8;17.6;22,5
09/05/26 20.52;28,0;94,2;16.9;22,5
09/05/26 21.22;27,9;93,6;22.8;0,0
09/05/26 21.52;27,8;92,8;20.6;0,0
09/05/26 22.22;27,4;95,7;20.8;0,0
09/05/26 22.52;27,7;93,5;9.6;0,0
09/05/26 23.22;27,8;94,9;26.4;0,0
09/05/26 23.52;27,6;95,8;13.7;0,0
10/05/26 00.22;26,7;98,4;16.2;0,0
10/05/26 00.52;26,4;99,9;19.5;0,0
10/05/26 01.22;26,8;97,2;9.2;0,0
10/05/26 01.52;26,8;96,8;10.1;0,0
10/05/26 02.22;26,8;95,9;22.9;0,0
10/05/26 02.52;26,5;97,4;8.7;0,0
10/05/26 03.22;26,4;97,6;9.2;0,0
10/05/26 03.52;26,5;93,4;8.5;22,5
10/05/26 04.22;26,5;94,5;25.4;22,5
10/05/26 04.52;26,6;94,0;21.7;22,5
10/05/26 05.22;26,2;94,0;21.2;22,5
10/05/26 05.52;26,3;93,7;20.0;22,3
10/05/26 06.22;26,3;92,8;7.6;37,5
10/05/26 06.52;27,0;92,3;18.7;59,2
10/05/26 07.22;27,9;90,6;18.8;80,8
10/05/26 07.52;29,1;88,8;17.8;101,7
10/05/26 09.15;31,0;77,3;18.1;112,5
10/05/26 09.45;32,2;73,5;7.5;136,2
10/05/26 10.15;31,6;77,3;8.0;85,0
10/05/26 10.45;32,7;74,4;16.3;163,2
10/05/26 11.15;33,1;71,2;17.8;169,2
10/05/26 11.45;33,8;68,8;17.9;166,3
10/05/26 12.15;33,7;67,8;19.2;190,0
10/05/26 12.45;35,3;66,0;17.2;225,8
10/05/26 13.15;34,7;65,0;18.1;424,8
10/05/26 13.45;34,0;66,5;16.7;203,3
10/05/26 14.15;33,5;68,6;6.6;140,0
10/05/26 14.45;33,7;69,5;17.5;216,3
10/05/26 15.15;35,4;61,3;17.0;340,8
10/05/26 15.45;32,6;71,0;8.6;85,0
10/05/26 16.15;31,5;76,2;16.1;25,8
10/05/26 16.45;30,8;78,6;20.0;21,7
10/05/26 17.15;30,0;85,1;31.5;15,8
10/05/26 17.45;29,6;87,7;26.8;22,5
10/05/26 18.15;29,1;90,4;20.6;22,5
10/05/26 18.45;29,1;90,6;20.1;22,5
10/05/26 19.15;28,7;91,1;22.2;22,5
10/05/26 19.45;28,7;91,2;21.4;22,5
10/05/26 20.15;28,6;91,7;20.3;22,5
10/05/26 20.45;28,5;91,8;20.1;22,5
10/05/26 21.15;28,4;91,9;15.0;0,0
10/05/26 21.45;28,2;92,7;9.1;0,0
10/05/26 22.15;27,8;94,7;18.6;0,0
10/05/26 22.45;27,8;96,2;17.9;0,0
10/05/26 23.15;28,1;93,6;17.3;0,0
10/05/26 23.45;27,8;96,4;9.7;0,0
11/05/26 00.15;27,7;97,2;13.9;0,0
11/05/26 00.45;27,3;98,6;13.8;0,0
11/05/26 01.15;27,3;98,2;14.4;0,0
11/05/26 01.45;27,2;99,2;15.8;0,0
11/05/26 02.15;26,9;99,3;16.4;0,0
11/05/26 02.45;26,8;98,9;21.0;0,0
11/05/26 03.15;26,6;99,9;16.1;0,0
11/05/26 03.45;26,2;99,9;14.6;0,0
11/05/26 04.15;26,1;98,0;16.1;22,5
11/05/26 04.45;25,9;99,2;15.0;22,5
11/05/26 05.15;25,5;99,9;14.0;22,5
11/05/26 05.45;25,4;99,9;14.8;22,7
11/05/26 06.15;25,8;99,7;15.0;37,5
11/05/26 06.45;26,8;97,8;15.4;61,7
11/05/26 07.15;27,3;96,5;16.3;78,3
11/05/26 07.45;28,3;91,3;13.6;101,7
11/05/26 16.35;30,6;88,3;14.0;33,3
11/05/26 17.05;30,2;88,1;12.0;25,0
11/05/26 17.35;30,0;91,6;15.9;23,0
11/05/26 18.05;29,7;89,8;12.8;22,8
11/05/26 18.35;28,7;86,7;12.4;22,4
11/05/26 19.05;28,5;87,0;11.4;22,5
11/05/26 19.35;28,6;87,6;11.1;22,5
11/05/26 20.05;28,6;87,0;10.8;22,5
11/05/26 20.35;28,8;86,1;12.7;22,5
11/05/26 21.05;28,7;88,2;14.0;22,5
11/05/26 21.36;28,4;87,5;15.8;0,0
11/05/26 22.06;28,2;88,5;15.3;0,0
11/05/26 22.36;27,3;93,2;18.2;0,0
11/05/26 23.06;27,1;96,0;10.8;0,0
11/05/26 23.36;27,0;94,0;9.1;0,0
12/05/26 00.06;26,5;95,6;18.1;0,0
12/05/26 00.36;26,6;91,9;13.2;0,0
12/05/26 01.06;26,0;95,8;10.6;0,0
12/05/26 01.36;26,3;94,7;14.0;0,0
12/05/26 02.06;26,4;90,8;12.7;0,0
12/05/26 02.36;26,3;94,9;16.6;0,0
12/05/26 03.06;26,1;94,7;12.9;0,0
12/05/26 03.36;25,5;95,1;10.0;0,0
12/05/26 04.06;25,5;97,2;10.0;0,0
12/05/26 04.36;25,5;96,1;12.1;22,5
12/05/26 05.06;25,2;96,9;12.0;22,5
12/05/26 05.36;25,3;92,8;15.1;22,8
12/05/26 06.06;24,6;95,9;16.8;30,0
12/05/26 06.36;25,8;94,8;9.9;55,8
12/05/26 07.06;26,8;90,2;14.2;72,5
12/05/26 07.36;27,7;85,6;11.8;101,7
12/05/26 09.14;31,2;74,1;12.3;101,7
12/05/26 09.44;32,3;71,7;8.9;126,7
12/05/26 10.14;32,9;70,4;8.7;160,0
12/05/26 10.44;33,6;66,9;11.1;158,3
12/05/26 11.14;34,2;67,0;12.6;208,3
12/05/26 11.44;34,8;66,3;11.9;200,8
12/05/26 12.14;34,0;69,1;10.3;205,7
12/05/26 12.44;34,5;66,4;11.1;228,3
12/05/26 13.14;34,7;65,8;9.0;510,0
12/05/26 13.44;34,9;66,2;11.0;498,5
12/05/26 14.14;34,6;67,0;13.1;439,2
12/05/26 14.44;34,1;67,3;11.8;395,8
12/05/26 15.14;37,4;56,8;10.8;509,5
12/05/26 15.44;36,9;58,8;11.2;424,2
12/05/26 16.14;34,7;66,9;12.3;223,3
12/05/26 16.44;32,4;75,0;10.3;61,7
12/05/26 17.14;30,7;84,5;9.3;30,8
12/05/26 17.44;29,6;88,5;10.6;22,5
12/05/26 18.14;29,3;92,3;9.5;22,5
12/05/26 18.44;29,0;93,1;9.5;22,5
12/05/26 19.14;28,5;95,0;9.1;22,5
12/05/26 19.44;28,4;95,6;9.8;22,5
12/05/26 20.14;28,4;91,9;8.9;22,5
12/05/26 20.44;27,9;89,6;10.2;0,0
12/05/26 21.14;27,9;88,2;8.7;0,0
12/05/26 21.44;27,8;89,1;9.2;0,0
12/05/26 22.14;27,4;92,2;10.1;0,0
12/05/26 22.44;27,0;95,4;10.5;0,0
12/05/26 23.14;27,0;96,1;10.9;0,0
12/05/26 23.44;27,0;95,4;12.4;0,0
13/05/26 00.14;27,0;93,3;19.3;0,0
13/05/26 00.44;26,8;93,5;10.9;0,0
13/05/26 01.14;26,7;92,1;11.2;0,0
13/05/26 01.45;26,7;92,4;17.8;0,0
13/05/26 02.14;26,6;90,6;14.8;0,0
13/05/26 02.44;26,6;88,5;13.7;0,0
13/05/26 03.14;26,5;86,5;13.9;0,0
13/05/26 03.44;26,4;84,6;0,8;0,0
13/05/26 04.14;26,2;85,2;20.4;22,5
13/05/26 04.44;26,2;86,4;18.7;22,5
13/05/26 05.14;26,2;86,0;15.0;22,5
13/05/26 05.45;25,6;90,6;18,2;25,0
13/05/26 06.15;25,9;89,6;7,3;42,5
13/05/26 07.26;27,8;87,0;6,7;89,2
13/05/26 07.56;29,4;85,8;7,5;81,7
13/05/26 08.26;30,3;81,4;20,7;80,0
13/05/26 08.56;31,0;79,4;23,9;90,0
13/05/26 09.26;32,4;74,4;23,2;127,5
13/05/26 09.56;32,7;70,2;25,4;138,3
13/05/26 10.26;33,7;69,1;18,7;158,3
13/05/26 10.56;35,0;63,1;27,9;175,0
13/05/26 11.26;35,4;64,3;22,5;194,2
13/05/26 11.56;35,4;66,5;25,0;189,2
13/05/26 12.26;36,3;63,1;17,4;205,0
13/05/26 12.56;36,5;62,6;20,7;429,5
13/05/26 13.26;36,3;62,8;18,4;537,5
13/05/26 13.56;37,0;60,6;17,6;450,0
13/05/26 14.26;33,5;70,2;16,9;97,5
13/05/26 14.56;34,4;67,0;22,8;359,2
13/05/26 15.26;33,3;66,6;20,6;80,5
13/05/26 15.56;32,8;71,3;20,8;87,5
13/05/26 16.26;32,0;74,5;9,6;44,2
13/05/26 16.56;30,6;80,0;26,4;38,3
13/05/26 17.26;29,8;83,6;13,7;24,2
13/05/26 17.56;29,5;85,2;16,2;22,5
13/05/26 18.26;29,4;86,6;19,5;22,5
13/05/26 18.56;29,2;88,6;9,2;22,5
13/05/26 19.26;28,9;91,3;10,1;22,5
13/05/26 19.56;28,5;93,5;22,9;22,5
13/05/26 20.26;28,2;94,8;8,7;22,5
13/05/26 20.56;28,0;94,8;9,2;22,5
13/05/26 21.26;28,1;92,8;8,5;22,5
13/05/26 21.56;27,9;92,3;25,4;0,0
13/05/26 22.26;27,5;94,2;21,7;0,0
13/05/26 22.56;27,4;93,6;22,2;0,0
13/05/26 23.26;27,5;92,1;20,0;0,0
13/05/26 23.56;27,4;90,1;7,6;0,0
14/05/26 00.26;27,5;89,4;18,7;0,0
14/05/26 00.56;27,5;88,7;18,8;0,0
14/05/26 01.26;27,4;89,0;17,8;0,0
14/05/26 01.56;26,9;93,1;18,1;0,0
14/05/26 02.26;27,3;90,0;7,5;0,0
14/05/26 02.56;27,0;93,5;8,0;0,0
14/05/26 03.26;26,7;94,5;16,3;0,0
14/05/26 03.56;26,9;93,4;17,8;0,0
14/05/26 04.26;26,9;94,1;17,9;22,5
14/05/26 04.56;26,8;96,6;19,2;22,5
14/05/26 05.26;26,4;97,7;17,2;22,5
14/05/26 05.56;26,2;98,0;18,1;28,3
14/05/26 06.26;26,0;96,8;16,7;42,5
14/05/26 06.56;27,3;92,1;6,6;72,5
14/05/26 09.23;31,5;79,8;17,5;76,7
14/05/26 09.53;32,5;76,1;17,0;132,8
14/05/26 10.23;33,1;72,4;8,6;166,8
14/05/26 10.53;33,6;71,9;16,1;160,8
14/05/26 11.23;34,5;68,0;20,0;201,2
14/05/26 11.53;34,4;69,9;31,5;175,8
14/05/26 12.23;35,2;67,0;26,8;190,0
14/05/26 12.53;35,2;67,8;20,6;308,5
14/05/26 13.23;35,2;67,9;20,1;477,0
14/05/26 13.53;35,9;65,6;22,2;465,0
14/05/26 14.23;34,9;68,3;21,4;289,3
14/05/26 14.53;33,7;74,5;20,3;84,2
14/05/26 15.23;30,4;81,0;20,1;23,3
14/05/26 15.53;29,1;82,7;15,0;11,7
14/05/26 16.23;25,7;99,9;9,1;24,2
14/05/26 16.53;26,3;99,9;18,6;30,0
14/05/26 17.23;26,5;99,9;17,9;25,8
14/05/26 17.53;26,3;99,9;17,3;22,5
14/05/26 18.23;26,2;99,9;9,7;22,5
14/05/26 18.53;26,2;99,9;13,9;22,5
14/05/26 19.23;26,4;99,9;13,8;22,5
14/05/26 19.53;26,5;99,9;14,4;22,5
14/05/26 20.23;26,1;99,9;15,8;22,5
14/05/26 20.53;26,9;99,9;16,4;22,5
14/05/26 21.23;26,9;99,9;21,0;0,0
14/05/26 21.53;27,0;99,9;16,1;0,0
14/05/26 22.23;26,9;99,9;14,6;0,0
14/05/26 22.53;26,7;99,9;16,1;0,0
14/05/26 23.23;26,9;99,9;15,0;0,0
14/05/26 23.53;26,3;99,9;14,0;0,0
15/05/26 00.23;26,7;99,9;14,8;0,0
15/05/26 00.53;26,7;99,9;15,0;0,0
15/05/26 01.24;26,8;99,9;15,4;0,0
15/05/26 01.54;26,8;99,9;16,3;0,0
15/05/26 02.24;26,7;99,9;13,6;0,0
15/05/26 02.54;26,5;99,9;14,0;0,0
15/05/26 03.24;26,1;99,9;12,0;0,0
15/05/26 03.54;25,7;99,9;15,9;0,0
15/05/26 04.24;25,9;99,9;12,8;22,5
15/05/26 04.54;26,2;99,9;12,4;22,5
15/05/26 05.24;26,2;99,9;11,4;22,5
15/05/26 05.54;26,2;99,9;11,1;25,8
15/05/26 06.24;26,2;99,9;10,8;47,5
15/05/26 06.54;27,1;99,9;12,7;83,3
15/05/26 07.24;28,1;99,9;14,0;115,0
15/05/26 07.54;29,5;95,0;15,7;146,7
15/05/26 16.29;27,6;99,9;15,3;41,7
15/05/26 16.59;27,9;99,9;18,2;27,5
15/05/26 17.29;27,5;99,9;10,8;23,3
15/05/26 17.59;27,9;99,9;9,1;23,3
15/05/26 18.29;27,9;99,9;18,1;23,3
15/05/26 18.59;27,6;99,9;13,2;23,3
15/05/26 19.29;27,8;99,9;10,6;24,0
15/05/26 19.59;27,9;99,9;14,0;23,3
15/05/26 20.29;27,8;99,9;12,7;23,3
15/05/26 20.59;27,7;99,9;16,6;0,0
15/05/26 21.29;27,6;99,9;12,9;0,0
15/05/26 21.59;27,1;99,9;10,0;0,0
15/05/26 22.29;27,5;99,9;10,0;0,0
15/05/26 22.59;27,3;99,9;12,1;0,0
15/05/26 23.29;27,2;99,9;12,0;0,0
15/05/26 23.59;27,1;99,9;15,1;0,0
16/05/26 00.29;26,9;99,9;16,8;0,0
16/05/26 00.59;27,1;99,9;9,9;0,0
16/05/26 01.29;27,0;99,9;14,2;0,0
16/05/26 02.29;26,4;99,9;11,8;0,0
16/05/26 02.59;26,7;99,9;12,3;0,0
16/05/26 03.29;26,5;99,9;12.6;0,0
16/05/26 03.59;26,1;99,9;8.2;0,0
16/05/26 04.29;26,3;99,9;8.3;23,3
16/05/26 04.59;26,2;99,9;8.8;23,3
16/05/26 05.29;26,3;99,9;11.9;23,3
16/05/26 05.59;26,5;99,9;8.7;27,5
16/05/26 06.29;26,8;99,9;10.7;41,7
16/05/26 06.59;27,2;99,9;11.8;58,3
16/05/26 07.29;27,8;99,9;9.4;85,8
16/05/26 07.59;28,3;99,9;9.2;93,3
16/05/26 08.29;29,7;99,0;6.4;108,8
16/05/26 08.59;30,8;94,7;8.0;122,5
16/05/26 09.29;31,3;94,5;7.0;110,0
16/05/26 09.59;31,1;92,2;6.4;109,2
16/05/26 10.29;32,0;90,4;7.1;149,7
16/05/26 10.59;32,8;84,9;6.7;160,0
16/05/26 11.29;32,8;83,8;6.8;148,3
16/05/26 13.32;28,5;99,9;8.4;72,5
16/05/26 14.02;30,0;99,9;8.3;60,8
16/05/26 14.32;30,9;97,9;8.6;123,3
16/05/26 15.02;31,8;90,9;9.4;294,5
16/05/26 15.32;31,1;89,6;8.3;201,7
16/05/26 16.02;29,6;99,1;7.6;1450,8
16/05/26 17.04;28,6;99,9;7.5;35,0
16/05/26 18.04;27,7;99,9;8.5;23,3
16/05/26 18.34;27,8;99,9;7.8;23,3
16/05/26 19.04;28,0;99,9;7.8;23,3
16/05/26 19.34;28,0;99,9;7.5;23,3
16/05/26 20.04;28,0;99,9;7.2;23,3
16/05/26 21.04;27,7;99,9;7.8;0,0
16/05/26 21.34;27,8;99,9;6.7;0,0
16/05/26 22.04;27,6;99,9;8.3;0,0
16/05/26 22.34;27,4;99,9;8.1;0,0
16/05/26 23.04;27,3;99,9;9.9;0,0
16/05/26 23.34;27,4;99,9;8.8;0,0
17/05/26 00.04;27,3;99,9;9.7;0,0
17/05/26 00.34;26,9;99,9;9.1;0,0
17/05/26 01.04;26,8;99,9;8.6;0,0
17/05/26 01.34;26,9;99,9;9.2;0,0
17/05/26 02.04;27,1;99,9;8.7;0,0
17/05/26 02.34;27,0;99,9;8.5;0,0
17/05/26 03.04;27,1;99,9;10.7;23,3
17/05/26 03.34;27,3;99,9;8.7;23,3
17/05/26 04.04;27,2;99,9;7.4;23,3
17/05/26 04.34;27,2;99,9;7.4;23,3
17/05/26 05.04;26,2;99,9;7.1;23,3
17/05/26 05.34;26,5;99,9;7.8;23,8
17/05/26 06.34;27,0;99,9;7.4;17,5
17/05/26 07.22;27,6;99,9;8.7;60,0
17/05/26 07.52;28,5;99,9;8.9;127,5
17/05/26 08.22;29,5;99,9;8.6;133,3
17/05/26 08.52;30,3;90,5;9.4;130,8
17/05/26 09.22;31,1;88,0;9.2;177,5
17/05/26 09.52;31,5;86,7;7.8;163,3
17/05/26 10.22;31,4;87,1;8.8;154,2
17/05/26 10.52;31,9;86,1;8.9;155,0
17/05/26 12.27;32,6;87,0;9.8;1708,5
17/05/26 13.21;31,9;87,0;22,3;126,7
17/05/26 13.57;31,6;88,3;22,7;88,3
17/05/26 14.27;25,6;99,9;19,6;31,7
17/05/26 14.57;26,1;99,9;25,6;41,7
17/05/26 15.27;26,8;99,9;19,7;18,3
17/05/26 15.57;26,5;99,9;17,6;20,0
17/05/26 16.27;27,4;99,9;19,2;20,8
17/05/26 18.05;27,6;99,9;9,8;23,3
17/05/26 18.36;27,4;99,9;10,9;23,3
17/05/26 19.05;27,5;99,9;11,5;23,3
17/05/26 19.36;27,1;99,9;11,3;23,3
17/05/26 20.05;27,2;99,9;13,4;23,3
17/05/26 20.35;26,7;99,9;12,0;23,3
17/05/26 21.06;26,7;99,9;15,5;0,0
17/05/26 21.36;26,3;99,9;12,8;0,0
17/05/26 22.06;26,6;99,9;13,4;0,0
17/05/26 22.36;25,8;99,9;10,5;0,0
17/05/26 23.06;26,1;99,9;11,8;0,0
17/05/26 23.36;26,2;99,9;13,1;0,0
18/05/26 00.06;26,2;99,9;11,9;0,0
18/05/26 00.36;26,2;99,9;11,1;0,0
18/05/26 01.06;26,2;99,9;11,4;0,0
18/05/26 01.36;26,1;99,9;10,8;0,0
18/05/26 02.06;25,9;99,9;9,6;0,0
18/05/26 02.36;25,7;99,9;11,0;0,0
18/05/26 03.06;25,5;99,9;10,1;0,0
18/05/26 03.36;25,3;99,9;8,6;0,0
18/05/26 04.06;25,4;99,9;8,2;23,3
18/05/26 04.36;25,4;99,9;8,8;23,3
18/05/26 05.06;25,2;99,9;9,8;23,3
18/05/26 05.36;25,2;99,9;9,4;23,8
18/05/26 06.06;25,2;99,9;9,7;13,3
18/05/26 06.36;25,7;99,9;11,0;59,2
18/05/26 07.06;26,4;99,9;15,0;114,2
18/05/26 07.36;28,0;99,9;13,9;155,0
18/05/26 08.06;29,1;99,9;14,8;104,2
18/05/26 08.36;30,0;99,7;13,9;107,5
18/05/26 09.06;30,6;91,5;26,8;110,8
18/05/26 09.36;31,0;93,5;11,7;174,3
18/05/26 10.06;32,3;87,9;21,3;175,8
18/05/26 10.36;32,9;84,4;38,8;190,0
18/05/26 11.06;33,3;80,1;31,6;186,7
18/05/26 11.36;33,0;80,3;37,3;187,3
18/05/26 12.06;33,1;70,9;20,4;188,0
18/05/26 12.36;34,4;69,7;34,6;240,0
18/05/26 13.06;35,1;69,7;50,0;382,2
18/05/26 13.36;34,8;63,6;32,1;486,7
18/05/26 14.06;35,0;66,2;32,3;541,3
18/05/26 14.36;34,3;67,7;25,4;458,8
18/05/26 15.06;34,5;68,2;27,6;386,0
18/05/26 15.36;33,2;78,5;39,0;257,5
18/05/26 16.06;32,0;85,9;24,8;77,5
18/05/26 16.36;31,6;90,1;13,7;75,8
18/05/26 17.06;30,6;96,2;16,7;19,2
18/05/26 17.36;29,8;99,9;13,5;20,8
18/05/26 18.06;28,9;99,9;34,8;20,0
18/05/26 18.36;29,2;99,9;32,8;20,0
18/05/26 19.06;28,3;99,9;26,7;20,0
18/05/26 19.36;28,6;99,9;10,9;20,0
18/05/26 20.06;28,5;99,9;9,8;20,0
18/05/26 20.36;28,4;99,9;10,4;20,0
18/05/26 21.06;28,4;99,9;10,6;0,0
18/05/26 21.36;28,2;99,9;14,7;0,0
18/05/26 22.06;28,3;99,9;16,9;0,0
18/05/26 22.36;28,0;99,9;16,5;0,0
18/05/26 23.06;27,9;99,9;13,8;0,0
18/05/26 23.36;27,6;99,9;13,0;0,0
19/05/26 00.06;27,8;99,9;12,4;0,0
19/05/26 00.36;27,5;99,9;10,1;0,0
19/05/26 01.06;27,6;99,9;11,1;0,0
19/05/26 01.36;27,1;99,9;10,4;0,0
19/05/26 02.06;27,2;99,9;11,6;0,0
19/05/26 02.36;27,3;99,9;11,7;0,0
19/05/26 03.06;27,3;99,9;11,7;0,0
19/05/26 03.36;27,0;99,9;12,3;0,0
19/05/26 04.06;27,1;99,9;11,3;20,8
19/05/26 04.36;27,1;99,9;8,9;20,0
19/05/26 05.06;27,0;99,9;9,6;20,0
19/05/26 05.36;26,8;99,9;9,8;20,0
19/05/26 06.06;26,9;99,9;10,4;31,7
19/05/26 06.36;27,3;99,9;10,1;37,5
19/05/26 07.06;27,8;99,9;11,0;102,5
19/05/26 07.36;28,7;99,9;14,0;115,8
19/05/26 08.06;29,7;99,9;10,5;99,2
19/05/26 08.36;30,4;99,9;16,5;102,5
19/05/26 09.06;31,1;93,5;11,8;120,8
19/05/26 09.36;31,4;90,6;15,7;122,2
19/05/26 10.06;31,3;94,5;14,2;155,8
19/05/26 10.36;32,6;84,3;32,4;182,5
19/05/26 11.06;33,3;77,2;38,8;194,2
19/05/26 11.36;33,4;77,8;31,4;127,5
19/05/26 12.06;33,5;76,1;25,2;181,7
19/05/26 12.36;34,1;74,6;24,7;255,3
19/05/26 13.06;31,9;87,6;26,2;137,5
19/05/26 13.36;34,5;77,7;18,9;240,8
19/05/26 14.06;33,2;87,0;16,1;576,5
19/05/26 14.36;34,9;77,1;15,8;454,0
19/05/26 15.06;34,8;76,2;17,0;355,0
19/05/26 15.36;33,5;78,1;14,6;312,5
19/05/26 16.06;32,7;81,9;15,4;290,8
19/05/26 16.36;31,7;89,7;16,5;77,5
19/05/26 17.06;30,4;98,7;15,5;20,0
19/05/26 17.36;29,8;99,9;16,0;20,8
19/05/26 18.06;29,2;99,9;19,2;20,0
19/05/26 18.36;29,0;99,9;22,5;20,0
19/05/26 19.06;28,8;99,9;23,2;20,0
19/05/26 19.36;28,4;99,9;20,1;20,0
19/05/26 20.06;28,3;99,9;24,0;20,0
19/05/26 20.36;28,0;99,9;19,6;20,0
19/05/26 21.06;27,7;97,7;20,0;0,0
19/05/26 21.36;27,4;98,1;20,6;0,0
19/05/26 22.06;27,3;99,1;21,1;0,0
19/05/26 22.36;27,2;99,9;20,8;0,0
19/05/26 23.06;27,1;99,9;20,5;0,0
19/05/26 23.36;27,1;99,9;18,8;0,0
20/05/26 00.06;26,2;99,9;15,4;0,0
20/05/26 00.36;26,7;99,9;19,5;0,0
20/05/26 01.06;26,6;99,9;17,2;0,0
20/05/26 01.36;26,5;99,9;17,7;0,0
20/05/26 02.06;26,6;99,9;14,3;0,0
20/05/26 02.36;27,0;99,9;18,1;0,0
20/05/26 03.06;26,8;99,9;19,9;0,0
20/05/26 03.36;26,3;99,9;16,9;0,0
20/05/26 04.06;26,3;99,9;16,8;20,8
20/05/26 04.36;26,7;99,9;16,3;20,0
20/05/26 05.07;25,9;99,9;13,3;20,0
20/05/26 05.37;26,3;99,9;17,0;20,8
20/05/26 06.07;26,3;99,9;17,0;33,3
20/05/26 06.37;26,4;99,9;7,1;50,0
20/05/26 07.07;27,9;99,9;24,2;94,2
20/05/26 07.37;29,2;99,9;20,6;88,5
20/05/26 08.07;30,2;99,2;24,5;124,2
20/05/26 08.37;30,5;96,1;30,2;123,3
20/05/26 09.07;31,4;91,3;33,3;93,3
20/05/26 09.37;32,0;88,4;10,5;139,2
20/05/26 10.07;32,7;85,2;25,6;178,3
20/05/26 10.37;33,0;81,8;24,8;182,5
20/05/26 11.07;33,3;79,7;25,3;187,5
20/05/26 11.37;33,6;78,3;23,6;196,7
20/05/26 12.07;34,1;76,0;23,6;210,2
20/05/26 12.37;34,9;75,1;24,5;249,2
20/05/26 13.07;34,7;71,2;22,3;381,3
20/05/26 13.37;36,0;74,2;24,7;490,8
20/05/26 14.07;34,7;76,3;26,7;550,3
20/05/26 14.37;34,0;79,1;23,3;469,5
20/05/26 15.07;33,5;81,5;21,6;169,2
20/05/26 15.37;33,4;83,8;24,3;309,2
20/05/26 16.07;31,4;94,0;28,0;35,0
20/05/26 16.37;31,2;98,4;32,6;36,7
20/05/26 17.07;30,9;99,9;12,2;31,7
20/05/26 17.37;30,1;99,9;24,0;20,8
20/05/26 18.07;30,0;99,9;33,9;20,0
20/05/26 18.37;29,8;99,9;28,7;20,7
20/05/26 19.07;29,6;99,9;25,3;20,8
20/05/26 19.37;29,5;99,9;30,2;20,8
20/05/26 20.07;29,3;99,9;27,0;20,8
20/05/26 20.37;29,2;99,9;29,4;20,8
20/05/26 21.07;29,2;99,9;10,1;0,0
20/05/26 21.37;29,0;99,9;13,6;0,0
20/05/26 22.07;28,3;99,9;9,3;0,0
20/05/26 22.37;28,0;99,9;10,2;0,0
20/05/26 23.07;28,2;99,9;12,0;0,0
20/05/26 23.37;27,2;99,9;21,6;0,0
21/05/26 00.07;27,4;99,9;9,1;0,0
21/05/26 00.37;27,4;99,9;10,2;0,0
21/05/26 01.07;27,8;99,9;8,1;0,0
21/05/26 01.37;27,9;99,9;9,8;0,0
21/05/26 02.07;28,0;99,9;11,9;0,0
21/05/26 02.37;27,9;99,9;12,6;0,0
21/05/26 03.07;27,2;99,9;9,4;0,0
21/05/26 03.37;27,0;99,9;7,7;0,0
21/05/26 04.07;27,4;99,9;22,4;21,7
21/05/26 04.37;27,8;99,9;21,1;20,8
21/05/26 05.07;27,2;99,9;10,5;20,8
21/05/26 05.37;27,7;99,9;19,4;20,8
21/05/26 06.07;27,9;99,9;23,3;21,7
21/05/26 06.37;26,9;99,9;7,2;27,5
21/05/26 07.07;27,3;99,9;7,3;23,3
21/05/26 07.37;28,7;99,9;13,6;39,2
21/05/26 08.07;29,2;99,9;13,5;56,7
21/05/26 08.37;29,9;99,9;22,7;111,3
21/05/26 09.40;31,0;99,9;18,7;76,7
21/05/26 10.10;31,4;99,2;13,8;186,7
21/05/26 10.40;32,7;94,8;12,9;137,5
21/05/26 11.10;32,9;92,6;35,2;216,7
21/05/26 11.40;33,4;88,0;11,6;198,3
21/05/26 12.10;34,1;83,5;32,9;234,2
21/05/26 12.40;34,8;81,3;26,9;277,0
21/05/26 13.10;35,7;76,3;31,1;423,3
21/05/26 13.40;35,3;78,7;36,2;466,7
21/05/26 14.10;34,7;78,7;23,8;517,2
21/05/26 14.40;34,8;76,8;21,9;538,5
21/05/26 15.10;33,4;82,4;19,4;310,8
21/05/26 15.40;33,7;79,6;22,3;321,3
21/05/26 16.10;33,3;83,4;25,0;191,7
21/05/26 16.40;31,9;91,8;11,9;76,7
